code,R,G,B
666,255,255,255
566,230,255,255
565,230,255,230
665,255,255,230
655,255,230,230
656,255,230,255
556,230,255,255
466,204,255,255
465,204,255,230
464,204,255,204
564,230,255,204
664,255,255,204
654,255,230,204
644,255,204,204
645,255,204,230
646,255,204,230
546,230,204,255
446,204,204,255
456,204,230,255
366,166,255,255
365,166,255,240
364,166,255,204
363,166,255,166
463,204,255,166
563,240,255,166
663,255,255,166
653,255,240,166
643,255,204,166
633,255,166,166
634,255,166,204
635,255,166,240
636,255,166,255
536,240,166,255
436,204,166,255
336,166,166,255
346,166,204,255
356,166,240,255
266,127,255,255
265,127,255,240
264,127,255,204
263,127,255,166
262,127,255,127
362,166,255,127
462,204,255,127
562,240,255,127
662,255,255,127
652,255,240,127
642,255,204,127
632,255,166,127
622,255,127,127
623,255,127,166
624,255,127,204
625,255,127,240
626,255,127,255
526,240,127,255
426,204,127,255
326,166,127,255
226,127,127,255
236,127,166,255
246,127,204,255
256,127,240,255
166,77,255,255
165,77,255,240
164,77,255,204
163,77,255,166
162,77,255,127
161,77,255,77
261,127,255,77
361,166,255,77
461,204,255,77
561,240,255,77
661,255,255,77
651,255,240,77
641,255,204,77
631,255,166,77
621,255,127,77
611,255,77,77
612,255,77,127
613,255,77,166
614,255,77,204
615,255,77,240
616,255,77,255
516,240,77,255
416,204,77,255
316,166,77,255
216,127,77,255
116,77,77,255
126,77,127,255
136,77,166,255
146,77,204,255
156,77,240,255
066,0,255,255
065,0,255,240
064,0,255,204
063,0,255,166
062,0,255,127
061,0,255,77
060,0,255,0
160,77,255,0
260,127,255,0
360,166,255,0
460,204,255,0
560,240,255,0
660,255,255,0
650,255,240,0
640,255,204,0
630,255,166,0
620,255,127,0
610,255,77,0
600,255,0,0
601,255,0,77
602,255,0,127
603,255,0,166
604,255,0,204
605,255,0,240
606,255,0,255
506,240,0,255
406,204,0,255
306,166,0,255
206,127,0,255
106,77,0,255
006,0,0,255
016,0,77,255
026,0,127,255
036,0,166,255
046,0,204,255
056,0,240,255
555,240,240,240
455,204,240,240
454,204,240,204
554,240,240,204
544,240,204,204
545,240,204,240
445,204,204,240
355,166,240,240
354,166,240,204
353,166,240,166
453,204,240,166
553,240,240,166
543,240,204,166
533,240,166,166
534,240,166,204
535,240,166,240
435,204,166,240
335,166,166,240
345,166,204,240
255,127,240,240
254,127,240,204
253,127,240,166
252,127,240,127
352,166,240,127
452,204,240,127
552,240,240,127
542,240,204,127
532,240,166,127
522,240,127,127
523,240,127,166
524,240,127,204
525,240,127,240
425,204,127,240
325,166,127,240
225,127,127,240
235,127,166,240
245,127,204,240
155,77,240,240
154,77,240,204
153,77,240,166
152,77,240,127
151,77,240,77
251,127,240,77
351,166,240,77
451,204,240,77
551,240,240,77
541,240,204,77
531,240,166,77
521,240,127,77
511,240,77,77
512,240,77,127
513,240,77,166
514,240,77,204
515,240,77,240
415,204,77,240
315,166,77,240
215,127,77,240
115,77,77,240
125,77,127,240
135,77,166,240
145,77,204,240
055,0,240,240
054,0,240,204
053,0,240,166
052,0,240,127
051,0,240,77
050,0,240,0
150,77,240,0
250,127,240,0
350,166,240,0
450,204,240,0
550,240,240,0
540,240,204,0
530,240,166,0
520,240,127,0
510,240,77,0
500,240,0,0
501,240,0,77
502,240,0,127
503,240,0,166
504,240,0,204
505,240,0,240
405,204,0,240
305,166,0,240
205,127,0,240
105,77,0,240
005,0,0,240
015,0,77,240
025,0,127,240
035,0,166,240
045,0,204,240
444,204,204,204
344,166,204,204
343,166,204,166
443,204,204,166
433,204,166,166
434,204,166,204
334,166,166,204
244,127,204,204
243,127,204,166
242,127,204,127
342,166,204,127
442,204,204,127
432,204,166,127
422,204,127,127
423,204,127,166
424,204,127,204
324,166,127,204
224,127,127,204
234,127,166,204
144,77,204,204
143,77,204,166
142,77,204,127
141,77,204,77
241,127,204,77
341,166,204,77
441,204,204,77
431,204,166,77
421,204,127,77
411,204,77,77
412,204,77,127
413,204,77,166
414,204,77,204
314,166,77,204
214,127,77,204
114,77,77,204
124,77,127,204
134,77,166,204
044,0,204,204
043,0,204,166
042,0,204,127
041,0,204,77
040,0,204,0
140,77,204,0
240,127,204,0
340,166,204,0
440,204,204,0
430,204,166,0
420,204,127,0
410,204,77,0
400,204,0,0
401,204,0,77
402,204,0,127
403,204,0,166
404,204,0,204
304,166,0,204
204,204,0,204
104,204,0,204
004,0,0,204
014,0,77,204
024,0,127,204
034,0,166,204
333,166,166,166
233,127,166,166
232,127,166,127
332,166,166,127
322,166,127,127
323,166,127,166
223,127,127,166
133,77,166,166
132,77,166,
131,77,166,77
231,127,166,77
331,166,166,77
321,166,127,77
311,166,77,77
312,166,77,127
313,166,77,166
213,127,77,166
113,77,77,166
123,77,127,166
033,0,166,166
032,0,166,127
031,0,166,77
030,0,166,0
130,77,166,0
230,127,166,0
330,166,166,0
320,166,127,0
310,166,77,0
300,166,0,0
301,166,0,77
302,166,0,127
303,166,0,166
203,127,0,166
103,77,0,166
003,0,0,166
013,0,77,166
023,0,127,166
222,127,127,127
122,77,127,127
121,77,127,77
221,127,127,77
211,127,77,77
212,127,77,127
112,77,77,127
022,0,127,127
021,0,127,77
020,0,127,0
120,77,127,0
220,127,127,0
210,127,77,0
200,127,0,0
201,127,0,77
202,127,0,127
102,77,0,127
002,0,0,127
012,0,77,127
111,77,77,77
011,0,77,77
010,0,77,0
110,77,77,0
100,77,0,0
101,77,0,77
001,0,0,77
000,0,0,0
