DCODE,NAME,AREA,WKT,AUTHORITY,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE,SOURCE,DESCRIPTION
DADI-M,Adindan, Mean,Adindan ,EPSG:6201,clrk80,-166,5,-15,5,204,3,-5,31,15,55,0,0,0,0,default,
DADI-A,Adindan, Ethiopia,Adindan ,EPSG:6201,clrk80,-165,3,-11,3,206,3,-3,25,26,50,0,0,0,0,default,
DADI-B,Adindan, Sudan,Adindan ,EPSG:6201,clrk80,-161,3,-14,5,205,3,-3,31,15,45,0,0,0,0,default,
DADI-C,Adindan, Mali,Adindan ,EPSG:6201,clrk80,-123,25,-20,25,220,25,3,31,-20,11,0,0,0,0,default,
DADI-D,Adindan, Senegal,Adindan ,EPSG:6201,clrk80,-128,25,-18,25,224,25,5,23,-24,-5,0,0,0,0,default,
DADI-E,Adindan, Burkina Faso,Adindan ,EPSG:6201,clrk80,-118,25,-14,25,218,25,4,22,-12,8,0,0,0,0,default,
DADI-F,Adindan, Cameroon,Adindan ,EPSG:6201,clrk80,-134,25,-2,25,210,25,-4,19,3,23,0,0,0,0,default,
DAFG,Afgooye, Somalia,,,krass,-43,25,-163,25,45,25,-8,19,35,60,0,0,0,0,default,
DAIA,Antigua island astro 1943,,,,clrk80,-270,25,13,25,62,25,16,20,-65,-61,0,0,0,0,default,
DAIN-A,Ain el abd 1970, Bahrain,,,intl,-150,25,-250,25,-1,25,24,28,49,53,0,0,0,0,default,
DAIN-B,Ain el abd 1970, Saudi Arabia,,,intl,-143,10,-236,10,7,10,8,38,28,62,0,0,0,0,default,
DAMA,American samoa 1962,,,,clrk66,-115,25,118,25,426,25,-19,-9,-174,-165,0,0,0,0,default,
DANO,Anna 1 astro 1965, Cocos Island,,,aust_SA,-491,25,-22,25,435,25,-14,-10,94,99,0,0,0,0,default,
DARF-M,Arc 1950, Mean,,,clrk80,-143,20,-90,33,-294,20,-36,10,4,42,0,0,0,0,default,
